temporada,equipo,ciudad,presupuesto_musd,salario_promedio_kusd,inversion_refuerzos_musd,edad_promedio_plantilla,extranjeros_plantilla,antiguedad_dt_meses,participacion_internacional,capacidad_estadio,posicion_temporada_anterior,goles_favor_ant,goles_contra_ant,diferencia_goles_ant,xg_ant,posesion_ant,goles_favor,goles_contra,diferencia_goles,xg_temporada,posesion_prom_pct,puntos_temporada,posicion_final
2019,CD MACARA,Ambato,4.2,105.0,4.48,24.3,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,44,26,18,41.8,53.0,65.0,1
2019,BARCELONA SC,Guayaquil,12.9,322.5,9.1,24.7,6,10,6,57000,8.5,27.0,41.0,-14.0,25.6,49.5,40,29,11,38.0,51.8,80.0,2
2019,UNIVERSIDAD CATOLICA,Quito,6.18,154.5,7.46,22.1,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,39,30,9,37.0,51.4,65.0,3
2019,DELFIN SC,Manta,5.9,147.5,4.87,25.1,6,10,0,21000,8.5,27.0,41.0,-14.0,25.6,49.5,39,30,9,37.0,51.4,69.0,4
2019,INDEPENDIENTE DEL VALLE,Sangolqui,9.56,239.0,2.79,21.6,6,10,6,12000,8.5,27.0,41.0,-14.0,25.6,49.5,39,31,8,37.0,51.2,64.0,5
2019,LIGA DEPORTIVA UNIVERSITARIA,Quito,18.7,467.5,8.45,23.07,6,10,6,55000,8.5,27.0,41.0,-14.0,25.6,49.5,37,32,5,35.2,50.7,83.0,6
2019,SD AUCAS,Quito,4.7,117.5,6.74,23.8,6,10,0,20000,8.5,27.0,41.0,-14.0,25.6,49.5,37,32,5,35.2,50.7,62.0,7
2019,CS EMELEC,Guayaquil,9.3,232.5,9.615,25.2,6,10,6,40000,8.5,27.0,41.0,-14.0,25.6,49.5,36,33,3,34.2,50.2,78.0,8
2019,CD EL NACIONAL,Quito,5.89,147.25,4.35,22.9,6,10,0,40000,8.5,27.0,41.0,-14.0,25.6,49.5,35,34,1,33.2,49.8,39.0,9
2019,DEPORTIVO CUENCA,Cuenca,4.15,103.75,4.83,22.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,33,36,-3,31.4,49.3,45.0,10
2019,CD OLMEDO,Ecuador,3.19,79.75,2.58,25.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,29,39,-10,27.6,48.0,34.0,11
2019,GUAYAQUIL CITY,Guayaquil,4.22,105.5,5.88,24.4,6,10,0,6500,8.5,27.0,41.0,-14.0,25.6,49.5,28,40,-12,26.6,47.5,30.0,12
2019,MUSHUC RUNA SC,Ambato,5.46,136.5,3.66,25.8,6,10,0,10000,8.5,27.0,41.0,-14.0,25.6,49.5,27,41,-14,25.6,47.3,30.0,13
2019,TECNICO UNIVERSITARIO,Ambato,5.11,127.75,4.32,24.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,27,41,-14,25.6,47.2,42.0,14
2019,AMERICA DE QUITO,Ecuador,5.91,147.75,4.11,22.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,25,43,-18,23.8,46.4,37.0,15
2019,FUERZA AMARILLA,Ecuador,4.36,109.0,3.15,23.0,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,15,52,-37,14.2,43.1,9.0,16
2020,LIGA DEPORTIVA UNIVERSITARIA,Quito,20.28,507.0,18.62,24.3,6,10,6,55000,6.0,37.0,32.0,5.0,35.2,50.7,33,36,-3,31.4,52.5,59.0,1
2020,BARCELONA SC,Guayaquil,10.53,263.25,10.34,24.7,6,10,6,57000,2.0,40.0,29.0,11.0,38.0,51.8,32,36,-4,30.4,52.3,58.0,2
2020,INDEPENDIENTE DEL VALLE,Sangolqui,7.045,176.125,6.08,22.1,6,10,6,12000,5.0,39.0,31.0,8.0,37.0,51.2,31,38,-7,29.4,51.6,54.0,3
2020,UNIVERSIDAD CATOLICA,Quito,5.19,129.75,4.02,23.4,6,10,0,18000,3.0,39.0,30.0,9.0,37.0,51.4,30,39,-9,28.5,51.1,51.0,4
2020,CS EMELEC,Guayaquil,16.08,402.0,12.73,24.4,6,10,6,40000,8.0,36.0,33.0,3.0,34.2,50.2,27,41,-14,25.6,49.8,44.0,5
2020,GUAYAQUIL CITY,Guayaquil,3.35,83.75,2.71,26.0,6,10,0,6500,12.0,28.0,40.0,-12.0,26.6,47.5,27,41,-14,25.6,49.8,44.0,6
2020,CD MACARA,Ambato,5.51,137.75,3.29,25.5,6,10,0,18000,1.0,44.0,26.0,18.0,41.8,53.0,27,41,-14,25.6,49.8,44.0,7
2020,SD AUCAS,Quito,4.23,105.75,2.11,25.0,6,10,0,20000,7.0,37.0,32.0,5.0,35.2,50.7,27,42,-15,25.6,49.5,44.0,8
2020,TECNICO UNIVERSITARIO,Ambato,0.000778,0.01945,0.000242,25.7,6,10,0,18000,14.0,27.0,41.0,-14.0,25.6,47.2,27,42,-15,25.6,49.5,42.0,9
2020,DELFIN SC,Manta,4.02,100.5,2.81,25.4,6,10,0,21000,4.0,39.0,30.0,9.0,37.0,51.4,25,43,-18,23.8,48.8,38.0,10
2020,MUSHUC RUNA SC,Ambato,2.07,51.75,0.00094,26.7,6,10,0,10000,13.0,27.0,41.0,-14.0,25.6,47.3,23,45,-22,21.8,47.5,31.0,11
2020,DEPORTIVO CUENCA,Cuenca,1.27,31.75,0.000885,23.8,6,10,0,18000,10.0,33.0,36.0,-3.0,31.4,49.3,23,45,-22,21.8,47.5,31.0,12
2020,ORENSE SC,Machala,2.07,51.75,1.744,25.5,6,10,0,12000,8.5,27.0,41.0,-14.0,25.6,49.5,23,45,-22,21.8,47.5,31.0,13
2020,CD OLMEDO,Ecuador,1.815,45.375,1.065,26.0,6,10,0,18000,11.0,29.0,39.0,-10.0,27.6,48.0,22,45,-23,20.9,47.3,30.0,14
2020,LIGA DE PORTOVIEJO,Ecuador,2.51,62.75,1.61,25.4,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,22,45,-23,20.9,47.3,30.0,15
2020,CD EL NACIONAL,Quito,6.59,164.75,6.02,25.3,6,10,0,40000,9.0,35.0,34.0,1.0,33.2,49.8,21,47,-26,20.0,46.6,26.0,16
2021,CS EMELEC,Guayaquil,13.085,327.125,4.92,24.8,6,10,6,40000,5.0,27.0,41.0,-14.0,25.6,49.8,34,35,-1,32.3,53.4,64.0,1
2021,INDEPENDIENTE DEL VALLE,Sangolqui,6.311,157.775,2.67,22.7,6,10,6,12000,3.0,31.0,38.0,-7.0,29.4,51.6,33,35,-2,31.4,52.8,61.0,2
2021,UNIVERSIDAD CATOLICA,Quito,5.08,127.0,1.08,23.2,6,10,0,18000,4.0,30.0,39.0,-9.0,28.5,51.1,31,38,-7,29.4,51.6,54.0,3
2021,BARCELONA SC,Guayaquil,11.55,288.75,6.54,24.7,6,10,6,57000,2.0,32.0,36.0,-4.0,30.4,52.3,30,39,-9,28.5,51.1,51.0,4
2021,9 DE OCTUBRE,Ecuador,0.000621,0.0155249999999999,0.000276,25.0,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,30,39,-9,28.5,50.9,50.0,5
2021,LIGA DEPORTIVA UNIVERSITARIA,Quito,14.12,353.0,5.58,25.3,6,10,6,55000,1.0,33.0,36.0,-3.0,31.4,52.5,29,40,-11,27.6,50.5,48.0,6
2021,MUSHUC RUNA SC,Ambato,2.56,64.0,0.000811,24.7,6,10,0,10000,11.0,23.0,45.0,-22.0,21.8,47.5,26,42,-16,24.7,49.3,41.0,7
2021,DELFIN SC,Manta,5.124,128.1,1.09,24.6,6,10,0,21000,10.0,25.0,43.0,-18.0,23.8,48.8,26,42,-16,24.7,49.1,40.0,8
2021,SD AUCAS,Quito,6.033,150.825,3.415,21.6,6,10,0,20000,8.0,27.0,42.0,-15.0,25.6,49.5,26,43,-17,24.7,48.9,39.0,9
2021,CD MACARA,Ambato,5.56,139.0,2.17,24.2,6,10,0,18000,7.0,27.0,41.0,-14.0,25.6,49.8,25,43,-18,23.8,48.4,36.0,10
2021,TECNICO UNIVERSITARIO,Ambato,2.01,50.25,0.000946,26.2,6,10,0,18000,9.0,27.0,42.0,-15.0,25.6,49.5,24,44,-20,22.8,48.2,35.0,11
2021,DEPORTIVO CUENCA,Cuenca,3.025,75.625,2.016,25.3,6,10,0,18000,12.0,23.0,45.0,-22.0,21.8,47.5,23,45,-22,21.8,47.7,32.0,12
2021,ORENSE SC,Machala,2.79,69.75,1.92,25.7,6,10,0,12000,13.0,23.0,45.0,-22.0,21.8,47.5,23,45,-22,21.8,47.5,31.0,13
2021,GUAYAQUIL CITY,Guayaquil,3.315,82.875,2.015,25.2,6,10,0,6500,6.0,27.0,41.0,-14.0,25.6,49.8,22,45,-23,20.9,47.3,30.0,14
2021,MANTA FC,Manta,1.748,43.7,0.00083,26.0,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,22,46,-24,20.9,47.0,28.0,15
2021,CD OLMEDO,Ecuador,1.83,45.75,1.0007,23.1,6,10,0,18000,14.0,22.0,45.0,-23.0,20.9,47.3,15,52,-37,14.2,43.8,10.0,16
2022,SD AUCAS,Quito,7.881,197.025,3.08,25.0,6,10,0,20000,9.0,26.0,43.0,-17.0,24.7,48.9,33,36,-3,31.4,52.5,59.0,1
2022,UNIVERSIDAD CATOLICA,Quito,4.233,105.825,1.085,24.1,6,10,0,18000,3.0,31.0,38.0,-7.0,29.4,51.6,32,37,-5,30.4,52.0,56.0,2
2022,INDEPENDIENTE DEL VALLE,Sangolqui,7.015,175.375,3.089,22.7,6,10,6,12000,2.0,33.0,35.0,-2.0,31.4,52.8,32,37,-5,30.4,52.0,56.0,3
2022,LIGA DEPORTIVA UNIVERSITARIA,Quito,10.089,252.225,5.458,23.7,6,10,6,55000,6.0,29.0,40.0,-11.0,27.6,50.5,31,37,-6,29.4,51.8,55.0,4
2022,BARCELONA SC,Guayaquil,8.98,224.5,2.31,24.0,6,10,6,57000,4.0,30.0,39.0,-9.0,28.5,51.1,30,39,-9,28.5,51.1,51.0,5
2022,CS EMELEC,Guayaquil,8.22,205.5,5.145,25.2,6,10,6,40000,1.0,34.0,35.0,-1.0,32.3,53.4,29,40,-11,27.6,50.5,48.0,6
2022,DEPORTIVO CUENCA,Cuenca,3.44,86.0,2.003,24.5,6,10,0,18000,12.0,23.0,45.0,-22.0,21.8,47.7,27,41,-14,25.6,49.6,43.0,7
2022,DELFIN SC,Manta,3.056,76.4,1.876,24.6,6,10,0,21000,8.0,26.0,42.0,-16.0,24.7,49.1,26,42,-16,24.7,49.3,41.0,8
2022,ORENSE SC,Machala,2.93,73.25,1.356,24.4,6,10,0,12000,13.0,23.0,45.0,-22.0,21.8,47.5,25,43,-18,23.8,48.4,36.0,9
2022,GUAYAQUIL CITY,Guayaquil,2.82,70.5,2.666,24.4,6,10,0,6500,14.0,22.0,45.0,-23.0,20.9,47.3,24,44,-20,22.8,48.2,35.0,10
2022,GUALACEO SC,Gualaceo,0.00076,0.019,1.233,25.9,6,10,0,10000,8.5,27.0,41.0,-14.0,25.6,49.5,24,44,-20,22.8,48.0,34.0,11
2022,TECNICO UNIVERSITARIO,Ambato,1.99,49.75,0.000711,26.0,6,10,0,18000,11.0,24.0,44.0,-20.0,22.8,48.2,23,45,-22,21.8,47.7,32.0,12
2022,MUSHUC RUNA SC,Ambato,2.965,74.125,0.000693,25.8,6,10,0,10000,7.0,26.0,42.0,-16.0,24.7,49.3,23,45,-22,21.8,47.5,31.0,13
2022,CUMBAYA FC,Quito,0.00069,0.01725,0.000312,25.4,6,10,0,4000,8.5,27.0,41.0,-14.0,25.6,49.5,23,45,-22,21.8,47.5,31.0,14
2022,CD MACARA,Ambato,2.018,50.45,0.000906,23.5,6,10,0,18000,10.0,25.0,43.0,-18.0,23.8,48.4,20,47,-27,19.0,46.3,24.0,15
2022,9 DE OCTUBRE,Ecuador,1.118,27.95,0.00068,25.4,6,10,0,18000,5.0,30.0,39.0,-9.0,28.5,50.9,19,49,-30,18.0,45.4,19.0,16
2023,LIGA DEPORTIVA UNIVERSITARIA,Quito,12.771,319.275,3.611,25.3,6,10,6,55000,4.0,31.0,37.0,-6.0,29.4,51.8,34,35,-1,32.3,53.0,62.0,1
2023,BARCELONA SC,Guayaquil,11.76,294.0,4.12,24.7,6,10,6,57000,5.0,30.0,39.0,-9.0,28.5,51.1,32,36,-4,30.4,52.3,58.0,2
2023,INDEPENDIENTE DEL VALLE,Sangolqui,8.7,217.5,3.045,22.1,6,10,6,12000,3.0,32.0,37.0,-5.0,30.4,52.0,31,37,-6,29.4,51.8,55.0,3
2023,EL NACIONAL,Quito,4.12,103.0,1.09,25.1,6,10,0,40000,8.5,27.0,41.0,-14.0,25.6,49.5,31,38,-7,29.4,51.4,53.0,4
2023,SD AUCAS,Quito,7.98,199.5,3.66,25.8,6,10,0,20000,1.0,33.0,36.0,-3.0,31.4,52.5,29,39,-10,27.6,50.7,49.0,5
2023,DELFIN SC,Manta,3.55,88.75,1.39,24.7,6,10,0,21000,8.0,26.0,42.0,-16.0,24.7,49.3,29,40,-11,27.6,50.5,48.0,6
2023,UNIVERSIDAD CATOLICA,Quito,6.88,172.0,0.000105,24.4,6,10,0,18000,2.0,32.0,37.0,-5.0,30.4,52.0,28,40,-12,26.6,50.2,46.0,7
2023,TECNICO UNIVERSITARIO,Ambato,2.77,69.25,0.000628,27.8,6,10,0,18000,12.0,23.0,45.0,-22.0,21.8,47.7,25,43,-18,23.8,48.6,37.0,8
2023,DEPORTIVO CUENCA,Cuenca,3.66,91.5,1.515,25.2,6,10,0,18000,7.0,27.0,41.0,-14.0,25.6,49.6,25,43,-18,23.8,48.6,37.0,9
2023,ORENSE SC,Machala,4.89,122.25,0.000411,23.3,6,10,0,12000,9.0,25.0,43.0,-18.0,23.8,48.4,25,43,-18,23.8,48.6,37.0,10
2023,CS EMELEC,Guayaquil,7.622,190.55,0.000977,24.3,6,10,6,40000,6.0,29.0,40.0,-11.0,27.6,50.5,25,43,-18,23.8,48.4,36.0,11
2023,MUSHUC RUNA SC,Ambato,3.965,99.125,0.000932,26.3,6,10,0,10000,13.0,23.0,45.0,-22.0,21.8,47.5,23,45,-22,21.8,47.7,32.0,12
2023,LIBERTAD FC,Loja,1.877,46.925,0.000545,25.4,6,10,0,6000,8.5,27.0,41.0,-14.0,25.6,49.5,22,46,-24,20.9,47.0,28.0,13
2023,CUMABAYA FC,Ecuador,1.788,44.7,0.000864,24.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,21,47,-26,20.0,46.6,26.0,14
2023,GUALACEO SC,Gualaceo,1.736,43.4,0.000306,25.5,6,10,0,10000,11.0,24.0,44.0,-20.0,22.8,48.0,21,47,-26,20.0,46.4,25.0,15
2023,GUAYAQUIL CITY,Guayaquil,5.442,136.05,1.615,24.7,6,10,0,6500,10.0,24.0,44.0,-20.0,22.8,48.2,20,48,-28,19.0,45.9,22.0,16
2024,INDEPENDIENTE DEL VALLE,Sangolqui,9.01,225.25,2.74,22.6,6,10,6,12000,3.0,31.0,37.0,-6.0,29.4,51.8,35,34,1,33.2,53.6,65.0,1
2024,LIGA DEPORTIVA UNIVERSITARIA,Quito,10.325,258.125,2.855,23.2,6,10,6,55000,1.0,34.0,35.0,-1.0,32.3,53.0,35,34,1,33.2,53.6,65.0,2
2024,BARCELONA SC,Guayaquil,11.355,283.875,3.44,25.2,6,10,6,57000,2.0,32.0,36.0,-4.0,30.4,52.3,32,37,-5,30.4,52.0,56.0,3
2024,UNIVERSIDAD CATOLICA,Quito,5.89,147.25,1.209,24.2,6,10,0,18000,7.0,28.0,40.0,-12.0,26.6,50.2,30,39,-9,28.5,51.1,51.0,4
2024,SD AUCAS,Quito,5.224,130.6,2.81,22.7,6,10,0,20000,5.0,29.0,39.0,-10.0,27.6,50.7,28,41,-13,26.6,50.0,45.0,5
2024,MUSHUC RUNA SC,Ambato,2.32,58.0,0.000312,26.0,6,10,0,10000,12.0,23.0,45.0,-22.0,21.8,47.7,26,42,-16,24.7,49.3,41.0,6
2024,EL NACIONAL,Quito,5.32,133.0,1.49,23.7,6,10,0,40000,4.0,31.0,38.0,-7.0,29.4,51.4,26,42,-16,24.7,49.1,40.0,7
2024,ORENSE SC,Machala,4.105,102.625,0.000395,23.1,6,10,0,12000,10.0,25.0,43.0,-18.0,23.8,48.6,26,42,-16,24.7,49.1,40.0,8
2024,TECNICO UNIVERSITARIO,Ambato,2.115,52.875,0.00093,26.6,6,10,0,18000,8.0,25.0,43.0,-18.0,23.8,48.6,25,43,-18,23.8,48.8,38.0,9
2024,CS EMELEC,Guayaquil,7.233,180.825,5.11,25.1,6,10,6,40000,11.0,25.0,43.0,-18.0,23.8,48.4,24,44,-20,22.8,48.0,34.0,10
2024,CS MACARA,Ecuador,2.11,52.75,0.000715,24.6,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,24,44,-20,22.8,47.9,33.0,11
2024,DELFIN SC,Manta,3.89,97.25,0.000714,24.0,6,10,0,21000,6.0,29.0,40.0,-11.0,27.6,50.5,23,45,-22,21.8,47.5,31.0,12
2024,DEPORTIVO CUENCA,Cuenca,3.988,99.7,0.000943,25.2,6,10,0,18000,9.0,25.0,43.0,-18.0,23.8,48.6,22,46,-24,20.9,47.2,29.0,13
2024,LIBERTAD FC,Loja,2.81,70.25,0.000506,25.4,6,10,0,6000,13.0,22.0,46.0,-24.0,20.9,47.0,21,46,-25,20.0,46.8,27.0,14
2024,IMBABURA SC,Ibarra,1.245,31.125,0.000134,24.4,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,20,47,-27,19.0,46.3,24.0,15
2024,CUMBAYA FC,Quito,2.81,70.25,0.000466,25.1,6,10,0,4000,14.0,23.0,45.0,-22.0,21.8,47.5,20,47,-27,19.0,46.3,24.0,16
2025,INDEPENDIENTE DEL VALLE,Sangolqui,10.817,270.425,2.9,26.9,6,10,6,12000,1.0,35.0,34.0,1.0,33.2,53.6,34,35,-1,32.3,52.9,82.0,1
2025,LIGA DEPORTIVA UNIVERSITARIA,Quito,10.344,258.6,0.000965,27.8,6,10,6,55000,2.0,35.0,34.0,1.0,33.2,53.6,30,38,-8,28.5,51.2,69.0,2
2025,BARCELONA SC,Guayaquil,11.51,287.75,1.802,28.3,6,10,6,57000,3.0,32.0,37.0,-5.0,30.4,52.0,30,39,-9,28.5,50.9,67.0,3
2025,UNIVERSIDAD CATOLICA,Quito,4.214,105.35,0.000214,26.4,6,10,0,18000,4.0,30.0,39.0,-9.0,28.5,51.1,27,41,-14,25.6,49.7,58.0,4
2025,ORENSE SC,Machala,4.625,115.625,0.000218,27.4,6,10,0,12000,8.0,26.0,42.0,-16.0,24.7,49.1,27,41,-14,25.6,49.7,58.0,5
2025,LIBERTAD FC,Loja,2.225,55.625,0.000322,27.1,6,10,0,6000,14.0,21.0,46.0,-25.0,20.0,46.8,27,42,-15,25.6,49.5,56.0,6
2025,CS MACARA,Ecuador,3.4,85.0,0.000103,27.6,6,10,0,18000,11.0,24.0,44.0,-20.0,22.8,47.9,28,40,-12,26.6,50.3,47.0,7
2025,DEPORTIVO CUENCA,Cuenca,3.855,96.375,0.00079,27.0,6,10,0,18000,13.0,22.0,46.0,-24.0,20.9,47.2,27,41,-14,25.6,49.9,59.0,8
2025,SD AUCAS,Quito,4.77,119.25,0.000932,26.4,6,10,0,20000,5.0,28.0,41.0,-13.0,26.6,50.0,27,41,-14,25.6,49.7,58.0,9
2025,CS EMELEC,Guayaquil,4.808,120.2,0.000112,28.1,6,10,6,40000,10.0,24.0,44.0,-20.0,22.8,48.0,26,42,-16,24.7,49.3,55.0,10
2025,DELFIN SC,Manta,3.778,94.45,0.000408,26.0,6,10,0,21000,12.0,23.0,45.0,-22.0,21.8,47.5,22,46,-24,20.9,47.2,39.0,11
2025,CD EL NACIONAL,Quito,4.43,110.75,1.16,27.7,6,10,0,40000,16.0,21.0,47.0,-26.0,20.0,46.6,21,46,-25,20.0,46.8,27.0,12
2025,MANTA FC,Manta,2.812,70.3,0.000209,26.1,6,10,0,18000,15.0,22.0,46.0,-24.0,20.9,47.0,22,46,-24,20.9,47.2,39.0,13
2025,MUSHUC RUNA SC,Ambato,2.715,67.875,9.78e-05,28.7,6,10,0,10000,6.0,26.0,42.0,-16.0,24.7,49.3,21,46,-25,20.0,46.8,36.0,14
2025,TECNICO UNIVERSITARIO,Ambato,2.25,56.25,0.00021,27.6,6,10,0,18000,9.0,25.0,43.0,-18.0,23.8,48.8,21,47,-26,20.0,46.4,33.0,15
2025,VINOTINTO FC,Ecuador,2.44,61.0,0.000315,27.2,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,20,47,-27,19.0,46.3,24.0,16
2026,INDEPENDIENTE DEL VALLE,Sangolqui,12.88,322.0,2.04,25.6,6,10,6,12000,1.0,34.0,35.0,-1.0,32.3,52.9,32,37,-5,30.4,54.7,57.0,1
2026,UNIVERSIDAD CATOLICA,Quito,4.918,122.95,0.000212,27.6,6,10,0,18000,4.0,27.0,41.0,-14.0,25.6,49.7,29,40,-11,27.6,52.7,48.0,2
2026,BARCELONA SC,Guayaquil,8.115,202.875,1.822,27.6,6,10,6,57000,3.0,30.0,39.0,-9.0,28.5,50.9,28,41,-13,26.6,52.0,45.0,3
2026,SD AUCAS,Quito,4.44,111.0,0.000417,26.2,6,10,0,20000,9.0,27.0,41.0,-14.0,25.6,49.7,25,43,-18,23.8,50.0,36.0,4
2026,DEPORTIVO CUENCA,Cuenca,3.14,78.5,0.000189,26.9,6,10,0,18000,8.0,27.0,41.0,-14.0,25.6,49.9,24,44,-20,22.8,49.3,33.0,5
2026,TECNICO UNIVERSITARIO,Ambato,2.13,53.25,0.000109,26.2,6,10,0,18000,15.0,21.0,47.0,-26.0,20.0,46.4,24,44,-20,22.8,49.3,33.0,6
2026,DELFIN SC,Manta,3.01,75.25,0.000103,26.1,6,10,0,21000,11.0,22.0,46.0,-24.0,20.9,47.2,24,44,-20,22.8,49.3,33.0,7
2026,CD MACARA,Ambato,2.118,52.95,5.61e-05,26.4,6,10,0,18000,15.0,20.0,47.0,-27.0,19.0,46.3,23,45,-22,21.8,48.7,30.0,8
2026,MUSHUC RUNA SC,Ambato,2.825,70.625,0.000108,27.5,6,10,0,10000,14.0,21.0,46.0,-25.0,20.0,46.8,23,45,-22,21.8,48.7,30.0,9
2026,LIBERTAD FC,Loja,2.054,51.35,0.000113,27.3,6,10,0,6000,6.0,27.0,42.0,-15.0,25.6,49.5,23,45,-22,21.8,48.7,30.0,10
2026,LIGA DEPORTIVA UNIVERSITARIA,Quito,11.23,280.75,1.86,27.8,6,10,6,55000,2.0,30.0,38.0,-8.0,28.5,51.2,23,45,-22,21.8,48.7,30.0,11
2026,GUAYAQUIL CITY FC,Ecuador,2.805,70.125,0.000912,27.9,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,21,46,-25,20.0,48.0,27.0,12
2026,ORENSE SC,Machala,3.75,93.75,8.5e-05,27.9,6,10,0,12000,5.0,27.0,41.0,-14.0,25.6,49.7,20,47,-27,19.0,47.3,24.0,13
2026,LEONES FC,Ecuador,1.8,45.0,9.17e-05,26.1,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,19,48,-29,18.0,46.7,21.0,14
2026,CS EMELEC,Guayaquil,4.018,100.45,0.0001657,27.3,6,10,6,40000,10.0,26.0,42.0,-16.0,24.7,49.3,17,50,-33,16.2,45.3,15.0,15
2026,MANTA FC,Manta,2.22,55.5,7.034000000000001e-05,27.8,6,10,0,18000,13.0,22.0,46.0,-24.0,20.9,47.2,16,51,-35,15.2,44.7,12.0,16
